,O3,PM25,Nox,NO,NO2,THC,NMHC,CH4,WindSpeed,TEMP,Humidity
0,32.2,31,24,3.46,20.84,2.309,0.231,2.078,1.91,24.86,77.11
1,30.2,32,32,5.64,26.3,2.186,0.227,1.959,1.72,26.58,71.93
2,30.5,46,20,2.36,18.05,0.0,0.0,0.0,2.08,24.75,76.33
3,32.5,38,24,3.18,20.64,2.374,0.225,2.15,1.66,24.97,79.97
4,29.9,32,29,5.43,23.82,2.29,0.287,2.004,1.03,26.18,73.78
5,35.3,30,21,2.2,18.95,2.202,0.179,2.023,2.08,24.58,79.22
6,30.4,34,31,5.94,25.24,2.233,0.228,2.005,1.78,25.64,72.95
7,33.1,35,26,2.96,23.17,2.287,0.252,2.035,1.55,25.85,70.83
8,31.2,40,22,3.81,17.81,2.188,0.213,1.975,1.89,24.49,77.84
9,33.1,24,10,1.54,8.22,0.0,0.0,0.0,0.96,25.25,76.11
10,41.0,38,18,1.9,16.16,2.201,0.103,2.098,2.11,25.53,76.27
11,34.6,35,21,3.36,17.43,2.197,0.171,2.027,2.16,24.77,77.4
12,47.1,28,20,1.61,18.52,2.235,0.201,2.034,1.97,26.14,73.2
13,43.7,35,18,1.76,16.17,2.353,0.176,2.177,1.52,26.17,78.2
14,53.8,29,12,0.85,11.24,2.184,0.094,2.09,2.22,26.63,74.09
15,45.0,30,20,1.61,18.72,2.239,0.224,2.015,1.73,27.35,66.75
16,43.7,29,25,3.49,21.17,2.155,0.186,1.969,1.82,27.8,67.62
17,43.3,24,8,0.98,6.81,0.0,0.0,0.0,1.02,26.31,75.42
18,43.7,29,24,3.06,20.79,2.252,0.242,2.011,0.96,27.13,70.88
19,44.3,29,26,3.37,22.28,2.237,0.195,2.042,1.65,27.01,69.31
20,49.6,32,16,1.8,13.78,2.129,0.136,1.993,2.27,26.18,72.71
21,45.8,38,18,2.62,15.32,2.143,0.16,1.983,1.91,25.93,73.62
22,48.8,30,17,1.55,15.24,2.118,0.142,1.976,2.11,26.02,73.8
23,44.1,40,16,1.21,14.94,0.0,0.0,0.0,2.32,26.26,73.87
24,27.0,15,21,4.31,16.27,2.008,0.153,1.855,1.85,30.02,76.86
25,34.2,16,8,0.94,6.92,2.023,0.057,1.966,2.39,28.66,78.67
26,32.8,19,13,2.24,10.38,1.959,0.098,1.861,2.28,28.73,77.16
27,27.8,15,19,4.07,15.36,2.076,0.194,1.882,0.99,29.57,73.88
28,30.7,16,15,1.94,13.06,2.049,0.16,1.889,1.77,29.59,72.16
29,28.9,23,12,1.58,9.92,0.0,0.0,0.0,2.29,29.37,77.92
30,28.4,20,14,2.19,11.41,2.239,0.143,2.096,1.47,28.42,82.69
31,29.2,11,5,1.22,3.75,0.0,0.0,0.0,1.05,28.47,78.8
32,31.1,16,13,1.69,11.19,1.962,0.112,1.851,2.23,28.72,77.7
